Protein Group#,Protein Accession #,Protein Description,GN,Protein_ID
SJPG102208.001,sp|A2A432|CUL4B_MOUSE,Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1,Cul4b,A2A432
SJPG113071.001,sp|Q8VCR8|MYLK2_MOUSE,"Myosin light chain kinase 2, skeletal/cardiac muscle OS=Mus musculus GN=Mylk2 PE=2 SV=2",Mylk2,Q8VCR8
SJPG103230.001,sp|Q8VCT3|AMPB_MOUSE,Aminopeptidase B OS=Mus musculus GN=Rnpep PE=2 SV=2,Rnpep,Q8VCT3
SJPG110292.001,sp|Q8VCT4|CES1D_MOUSE,Carboxylesterase 1D OS=Mus musculus GN=Ces1d PE=1 SV=1,Ces1d,Q8VCT4
SJPG110657.001,sp|Q8VCU0|ANGE1_MOUSE,Protein angel homolog 1 OS=Mus musculus GN=Angel1 PE=2 SV=2,Angel1,Q8VCU0
SJPG101668.001,sp|Q8VCW8|ACSF2_MOUSE,"Acyl-CoA synthetase family member 2, mitochondrial OS=Mus musculus GN=Acsf2 PE=1 SV=1",Acsf2,Q8VCW8
SJPG104229.001,sp|Q8VCX5|MICU1_MOUSE,"Calcium uptake protein 1, mitochondrial OS=Mus musculus GN=Micu1 PE=1 SV=1",Micu1,Q8VCX5
SJPG102009.001,sp|Q8VD04|GRAP1_MOUSE,GRIP1-associated protein 1 OS=Mus musculus GN=Gripap1 PE=1 SV=1,Gripap1,Q8VD04
SJPG108200.001,sp|Q8VD26|TM143_MOUSE,Transmembrane protein 143 OS=Mus musculus GN=Tmem143 PE=2 SV=1,Tmem143,Q8VD26
SJPG105270.001,sp|Q8VD62|CK068_MOUSE,UPF0696 protein C11orf68 homolog OS=Mus musculus GN=Bles03 PE=2 SV=1,Bles03,Q8VD62
SJPG102700.001,sp|Q8VD65|PI3R4_MOUSE,Phosphoinositide 3-kinase regulatory subunit 4 OS=Mus musculus GN=Pik3r4 PE=1 SV=3,Pik3r4,Q8VD65
SJPG103190.001,sp|Q8VD75|HIP1_MOUSE,Huntingtin-interacting protein 1 OS=Mus musculus GN=Hip1 PE=1 SV=2,Hip1,Q8VD75
SJPG118013.001,sp|Q8VDB8|LRRC2_MOUSE,Leucine-rich repeat-containing protein 2 OS=Mus musculus GN=Lrrc2 PE=2 SV=1,Lrrc2,Q8VDB8
SJPG104477.001,sp|Q8VDC0|SYLM_MOUSE,"Probable leucine--tRNA ligase, mitochondrial OS=Mus musculus GN=Lars2 PE=1 SV=1",Lars2,Q8VDC0
SJPG108050.001,sp|Q8VDC1|FYCO1_MOUSE,FYVE and coiled-coil domain-containing protein 1 OS=Mus musculus GN=Fyco1 PE=1 SV=1,Fyco1,Q8VDC1
SJPG100709.001,sp|Q8VDD5|MYH9_MOUSE,Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4,Myh9,Q8VDD5
SJPG108005.002,sp|Q8VDF3-2|DAPK2_MOUSE,Isoform 2 of Death-associated protein kinase 2 OS=Mus musculus GN=Dapk2,Dapk2,Q8VDF3-2
SJPG108005.001,sp|Q8VDF3|DAPK2_MOUSE,Death-associated protein kinase 2 OS=Mus musculus GN=Dapk2 PE=1 SV=1,Dapk2,Q8VDF3
SJPG106222.001,sp|Q8VDG5|PPCS_MOUSE,Phosphopantothenate--cysteine ligase OS=Mus musculus GN=Ppcs PE=2 SV=1,Ppcs,Q8VDG5
SJPG103242.001,sp|Q8VDI7|UBAC1_MOUSE,Ubiquitin-associated domain-containing protein 1 OS=Mus musculus GN=Ubac1 PE=2 SV=2,Ubac1,Q8VDI7
SJPG104365.001,sp|Q8VDI9|ALG9_MOUSE,"Alpha-1,2-mannosyltransferase ALG9 OS=Mus musculus GN=Alg9 PE=2 SV=1",Alg9,Q8VDI9
SJPG101938.001,sp|Q8VDJ3|VIGLN_MOUSE,Vigilin OS=Mus musculus GN=Hdlbp PE=1 SV=1,Hdlbp,Q8VDJ3
SJPG104655.001,sp|Q8VDK1|NIT1_MOUSE,Nitrilase homolog 1 OS=Mus musculus GN=Nit1 PE=2 SV=2,Nit1,Q8VDK1
SJPG101919.001,sp|Q8VDL4|ADPGK_MOUSE,ADP-dependent glucokinase OS=Mus musculus GN=Adpgk PE=1 SV=2,Adpgk,Q8VDL4
SJPG101681.001,sp|Q8VDM4|PSMD2_MOUSE,26S proteasome non-ATPase regulatory subunit 2 OS=Mus musculus GN=Psmd2 PE=1 SV=1,Psmd2,Q8VDM4
SJPG103474.001,sp|Q8VDM6|HNRL1_MOUSE,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Mus musculus GN=Hnrnpul1 PE=1 SV=1,Hnrnpul1,Q8VDM6
SJPG100672.001,sp|Q8VDN2|AT1A1_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus GN=Atp1a1 PE=1 SV=1,Atp1a1,Q8VDN2
SJPG102733.001,sp|Q8VDP4|CCAR2_MOUSE,Cell cycle and apoptosis regulator protein 2 OS=Mus musculus GN=Ccar2 PE=1 SV=2,Ccar2,Q8VDP4
SJPG105588.001,sp|Q8VDP6|CDIPT_MOUSE,CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Mus musculus GN=Cdipt PE=1 SV=1,Cdipt,Q8VDP6
SJPG100184.001,sp|Q8VDQ1|PTGR2_MOUSE,Prostaglandin reductase 2 OS=Mus musculus GN=Ptgr2 PE=1 SV=2,Ptgr2,Q8VDQ1
SJPG100909.001,sp|Q8VDQ8|SIR2_MOUSE,NAD-dependent protein deacetylase sirtuin-2 OS=Mus musculus GN=Sirt2 PE=1 SV=2,Sirt2,Q8VDQ8
SJPG101699.001,sp|Q8VDW0|DX39A_MOUSE,ATP-dependent RNA helicase DDX39A OS=Mus musculus GN=Ddx39a PE=2 SV=1,Ddx39a,Q8VDW0
SJPG102888.001,sp|Q8VE11|MTMR6_MOUSE,Myotubularin-related protein 6 OS=Mus musculus GN=Mtmr6 PE=1 SV=1,Mtmr6,Q8VE11
SJPG108892.001,sp|Q8VE18|SMG8_MOUSE,Protein SMG8 OS=Mus musculus GN=Smg8 PE=2 SV=1,Smg8,Q8VE18
SJPG104980.001,sp|Q8VE19|MIO_MOUSE,WD repeat-containing protein mio OS=Mus musculus GN=Mios PE=2 SV=2,Mios,Q8VE19
SJPG100379.001,sp|Q8VE22|RT23_MOUSE,"28S ribosomal protein S23, mitochondrial OS=Mus musculus GN=Mrps23 PE=1 SV=1",Mrps23,Q8VE22
SJPG100465.001,sp|Q8VE37|RCC1_MOUSE,Regulator of chromosome condensation OS=Mus musculus GN=Rcc1 PE=1 SV=1,Rcc1,Q8VE37
SJPG103477.001,sp|Q8VE38|OXND1_MOUSE,Oxidoreductase NAD-binding domain-containing protein 1 OS=Mus musculus GN=Oxnad1 PE=2 SV=2,Oxnad1,Q8VE38
SJPG103382.001,sp|Q8VE47|UBA5_MOUSE,Ubiquitin-like modifier-activating enzyme 5 OS=Mus musculus GN=Uba5 PE=2 SV=2,Uba5,Q8VE47
SJPG103524.001,sp|Q8VE88|F1142_MOUSE,Protein FAM114A2 OS=Mus musculus GN=Fam114a2 PE=2 SV=2,Fam114a2,Q8VE88
SJPG105970.001,sp|Q8VE91|F134B_MOUSE,Protein FAM134B OS=Mus musculus GN=Fam134b PE=1 SV=1,Fam134b,Q8VE91
SJPG122139.001,sp|Q8VE95|CH082_MOUSE,UPF0598 protein C8orf82 homolog OS=Mus musculus PE=2 SV=1,,Q8VE95
SJPG104838.001,sp|Q8VE97|SRSF4_MOUSE,Serine/arginine-rich splicing factor 4 OS=Mus musculus GN=Srsf4 PE=2 SV=1,Srsf4,Q8VE97
SJPG107054.001,sp|Q8VEE1|LMCD1_MOUSE,LIM and cysteine-rich domains protein 1 OS=Mus musculus GN=Lmcd1 PE=1 SV=1,Lmcd1,Q8VEE1
SJPG101856.001,sp|Q8VEE4|RFA1_MOUSE,Replication protein A 70 kDa DNA-binding subunit OS=Mus musculus GN=Rpa1 PE=1 SV=1,Rpa1,Q8VEE4
SJPG100282.001,sp|Q8VEH3|ARL8A_MOUSE,ADP-ribosylation factor-like protein 8A OS=Mus musculus GN=Arl8a PE=2 SV=1,Arl8a,Q8VEH3
SJPG103787.001,sp|Q8VEH5|EPMIP_MOUSE,EPM2A-interacting protein 1 OS=Mus musculus GN=Epm2aip1 PE=2 SV=1,Epm2aip1,Q8VEH5
SJPG104596.001,sp|Q8VEH6|CBWD1_MOUSE,COBW domain-containing protein 1 OS=Mus musculus GN=Cbwd1 PE=2 SV=1,Cbwd1,Q8VEH6
SJPG105851.001,sp|Q8VEH8|ERLEC_MOUSE,Endoplasmic reticulum lectin 1 OS=Mus musculus GN=Erlec1 PE=2 SV=1,Erlec1,Q8VEH8
SJPG102100.001,sp|Q8VEJ9|VPS4A_MOUSE,Vacuolar protein sorting-associated protein 4A OS=Mus musculus GN=Vps4a PE=1 SV=1,Vps4a,Q8VEJ9
SJPG106175.001,sp|Q8VEK3|HNRPU_MOUSE,Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus GN=Hnrnpu PE=1 SV=1,Hnrnpu,Q8VEK3
SJPG106847.001,sp|Q8VEL0|MSPD1_MOUSE,Motile sperm domain-containing protein 1 OS=Mus musculus GN=Mospd1 PE=2 SV=1,Mospd1,Q8VEL0
SJPG100908.001,sp|Q8VEM8|MPCP_MOUSE,"Phosphate carrier protein, mitochondrial OS=Mus musculus GN=Slc25a3 PE=1 SV=1",Slc25a3,Q8VEM8
SJPG117288.001,sp|Q8VHD8|HORN_MOUSE,Hornerin OS=Mus musculus GN=Hrnr PE=2 SV=1,Hrnr,Q8VHD8
SJPG103403.001,sp|Q8VHE0|SEC63_MOUSE,Translocation protein SEC63 homolog OS=Mus musculus GN=Sec63 PE=2 SV=4,Sec63,Q8VHE0
SJPG113398.001,sp|Q8VHE6|DYH5_MOUSE,"Dynein heavy chain 5, axonemal OS=Mus musculus GN=Dnah5 PE=2 SV=2",Dnah5,Q8VHE6
SJPG106408.001,sp|Q8VHK1|CSKI2_MOUSE,Caskin-2 OS=Mus musculus GN=Caskin2 PE=1 SV=3,Caskin2,Q8VHK1
SJPG104358.001,sp|Q8VHL1|SETD7_MOUSE,Histone-lysine N-methyltransferase SETD7 OS=Mus musculus GN=Setd7 PE=2 SV=2,Setd7,Q8VHL1
SJPG102246.001,sp|Q8VHQ9|ACO11_MOUSE,Acyl-coenzyme A thioesterase 11 OS=Mus musculus GN=Acot11 PE=2 SV=1,Acot11,Q8VHQ9
SJPG103792.001,sp|Q8VHR5|P66B_MOUSE,Transcriptional repressor p66-beta OS=Mus musculus GN=Gatad2b PE=1 SV=1,Gatad2b,Q8VHR5
SJPG114356.001,sp|Q8VHS6|ASB15_MOUSE,Ankyrin repeat and SOCS box protein 15 OS=Mus musculus GN=Asb15 PE=2 SV=2,Asb15,Q8VHS6
SJPG114588.001,sp|Q8VHW3|CCG6_MOUSE,Voltage-dependent calcium channel gamma-6 subunit OS=Mus musculus GN=Cacng6 PE=2 SV=1,Cacng6,Q8VHW3
SJPG104708.001,sp|Q8VHX6|FLNC_MOUSE,Filamin-C OS=Mus musculus GN=Flnc PE=1 SV=3,Flnc,Q8VHX6
SJPG101337.001,sp|Q8VHY0|CSPG4_MOUSE,Chondroitin sulfate proteoglycan 4 OS=Mus musculus GN=Cspg4 PE=1 SV=3,Cspg4,Q8VHY0
SJPG105848.001,sp|Q8VI36|PAXI_MOUSE,Paxillin OS=Mus musculus GN=Pxn PE=1 SV=1,Pxn,Q8VI36
SJPG105429.001,sp|Q8VI63|MOB2_MOUSE,MOB kinase activator 2 OS=Mus musculus GN=Mob2 PE=2 SV=1,Mob2,Q8VI63
SJPG100874.001,sp|Q8VI75|IPO4_MOUSE,Importin-4 OS=Mus musculus GN=Ipo4 PE=1 SV=1,Ipo4,Q8VI75
SJPG107183.001,sp|Q8VIB3|SIA10_MOUSE,"Type 2 lactosamine alpha-2,3-sialyltransferase OS=Mus musculus GN=St3gal6 PE=2 SV=3",St3gal6,Q8VIB3
SJPG100883.001,sp|Q8VIJ6|SFPQ_MOUSE,"Splicing factor, proline- and glutamine-rich OS=Mus musculus GN=Sfpq PE=1 SV=1",Sfpq,Q8VIJ6
SJPG102075.001,sp|Q8VIM9|IRGQ_MOUSE,Immunity-related GTPase family Q protein OS=Mus musculus GN=Irgq PE=2 SV=1,Irgq,Q8VIM9
SJPG103480.001,sp|Q8WTY4|CPIN1_MOUSE,Anamorsin OS=Mus musculus GN=Ciapin1 PE=1 SV=1,Ciapin1,Q8WTY4
SJPG100642.001,sp|Q91V12|BACH_MOUSE,Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus GN=Acot7 PE=1 SV=2,Acot7,Q91V12
SJPG109950.001,sp|Q91V24|ABCA7_MOUSE,ATP-binding cassette sub-family A member 7 OS=Mus musculus GN=Abca7 PE=1 SV=1,Abca7,Q91V24
SJPG100643.001,sp|Q91V41|RAB14_MOUSE,Ras-related protein Rab-14 OS=Mus musculus GN=Rab14 PE=1 SV=3,Rab14,Q91V41
SJPG104888.001,sp|Q91V57|CHIN_MOUSE,N-chimaerin OS=Mus musculus GN=Chn1 PE=1 SV=2,Chn1,Q91V57
SJPG102443.001,sp|Q91V61|SFXN3_MOUSE,Sideroflexin-3 OS=Mus musculus GN=Sfxn3 PE=1 SV=1,Sfxn3,Q91V61
SJPG101561.001,sp|Q91V64|ISOC1_MOUSE,Isochorismatase domain-containing protein 1 OS=Mus musculus GN=Isoc1 PE=1 SV=1,Isoc1,Q91V64
SJPG122110.001,sp|Q91V76|CK054_MOUSE,Ester hydrolase C11orf54 homolog OS=Mus musculus PE=2 SV=1,,Q91V76
SJPG111881.001,sp|Q91V79|FITM1_MOUSE,Fat storage-inducing transmembrane protein 1 OS=Mus musculus GN=Fitm1 PE=1 SV=1,Fitm1,Q91V79
SJPG100597.001,sp|Q91V92|ACLY_MOUSE,ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1,Acly,Q91V92
SJPG102090.001,sp|Q91VA6|PDIP2_MOUSE,Polymerase delta-interacting protein 2 OS=Mus musculus GN=Poldip2 PE=2 SV=1,Poldip2,Q91VA6
SJPG100177.001,sp|Q91VC3|IF4A3_MOUSE,Eukaryotic initiation factor 4A-III OS=Mus musculus GN=Eif4a3 PE=2 SV=3,Eif4a3,Q91VC3
SJPG106393.001,sp|Q91VC9|GHITM_MOUSE,Growth hormone-inducible transmembrane protein OS=Mus musculus GN=Ghitm PE=2 SV=1,Ghitm,Q91VC9
SJPG101441.001,sp|Q91VD9|NDUS1_MOUSE,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus GN=Ndufs1 PE=1 SV=2",Ndufs1,Q91VD9
SJPG104999.001,sp|Q91VF2|HNMT_MOUSE,Histamine N-methyltransferase OS=Mus musculus GN=Hnmt PE=1 SV=1,Hnmt,Q91VF2
SJPG104033.001,sp|Q91VH2|SNX9_MOUSE,Sorting nexin-9 OS=Mus musculus GN=Snx9 PE=1 SV=1,Snx9,Q91VH2
SJPG102612.001,sp|Q91VH6|MEMO1_MOUSE,Protein MEMO1 OS=Mus musculus GN=Memo1 PE=1 SV=1,Memo1,Q91VH6
SJPG107434.001,sp|Q91VI7|RINI_MOUSE,Ribonuclease inhibitor OS=Mus musculus GN=Rnh1 PE=1 SV=1,Rnh1,Q91VI7
SJPG101462.001,sp|Q91VJ2|PRDBP_MOUSE,Protein kinase C delta-binding protein OS=Mus musculus GN=Prkcdbp PE=1 SV=1,Prkcdbp,Q91VJ2
SJPG105737.001,sp|Q91VJ4|STK38_MOUSE,Serine/threonine-protein kinase 38 OS=Mus musculus GN=Stk38 PE=1 SV=1,Stk38,Q91VJ4
SJPG101620.001,sp|Q91VK1|BZW2_MOUSE,Basic leucine zipper and W2 domain-containing protein 2 OS=Mus musculus GN=Bzw2 PE=1 SV=1,Bzw2,Q91VK1
SJPG101958.001,sp|Q91VM5|RMXL1_MOUSE,"RNA binding motif protein, X-linked-like-1 OS=Mus musculus GN=Rbmxl1 PE=1 SV=1",Rbmxl1,Q91VM5
SJPG100733.001,sp|Q91VM9|IPYR2_MOUSE,"Inorganic pyrophosphatase 2, mitochondrial OS=Mus musculus GN=Ppa2 PE=1 SV=1",Ppa2,Q91VM9
SJPG102675.001,sp|Q91VN4|MIC25_MOUSE,MICOS complex subunit Mic25 OS=Mus musculus GN=Chchd6 PE=2 SV=2,Chchd6,Q91VN4
SJPG106323.001,sp|Q91VN6|DDX41_MOUSE,Probable ATP-dependent RNA helicase DDX41 OS=Mus musculus GN=Ddx41 PE=1 SV=2,Ddx41,Q91VN6
SJPG100837.001,sp|Q91VR2|ATPG_MOUSE,"ATP synthase subunit gamma, mitochondrial OS=Mus musculus GN=Atp5c1 PE=1 SV=1",Atp5c1,Q91VR2
SJPG102857.001,sp|Q91VR5|DDX1_MOUSE,ATP-dependent RNA helicase DDX1 OS=Mus musculus GN=Ddx1 PE=1 SV=1,Ddx1,Q91VR5
SJPG106794.001,sp|Q91VS7|MGST1_MOUSE,Microsomal glutathione S-transferase 1 OS=Mus musculus GN=Mgst1 PE=1 SV=3,Mgst1,Q91VS7
SJPG102486.001,sp|Q91VT4|CBR4_MOUSE,Carbonyl reductase family member 4 OS=Mus musculus GN=Cbr4 PE=1 SV=2,Cbr4,Q91VT4
SJPG104219.001,sp|Q91VU6|DCA11_MOUSE,DDB1- and CUL4-associated factor 11 OS=Mus musculus GN=Dcaf11 PE=1 SV=1,Dcaf11,Q91VU6
SJPG100034.001,sp|Q91VW3|SH3L3_MOUSE,SH3 domain-binding glutamic acid-rich-like protein 3 OS=Mus musculus GN=Sh3bgrl3 PE=1 SV=1,Sh3bgrl3,Q91VW3
SJPG106202.001,sp|Q91VW5|GOGA4_MOUSE,Golgin subfamily A member 4 OS=Mus musculus GN=Golga4 PE=1 SV=2,Golga4,Q91VW5
SJPG102827.001,sp|Q91VX2|UBAP2_MOUSE,Ubiquitin-associated protein 2 OS=Mus musculus GN=Ubap2 PE=1 SV=1,Ubap2,Q91VX2
SJPG104719.001,sp|Q91W18|TDRD3_MOUSE,Tudor domain-containing protein 3 OS=Mus musculus GN=Tdrd3 PE=1 SV=4,Tdrd3,Q91W18
SJPG107351.001,sp|Q91W29|COX42_MOUSE,"Cytochrome c oxidase subunit 4 isoform 2, mitochondrial OS=Mus musculus GN=Cox4i2 PE=2 SV=1",Cox4i2,Q91W29
SJPG100400.001,sp|Q91W39|NCOA5_MOUSE,Nuclear receptor coactivator 5 OS=Mus musculus GN=Ncoa5 PE=1 SV=1,Ncoa5,Q91W39
SJPG102415.001,sp|Q91W50|CSDE1_MOUSE,Cold shock domain-containing protein E1 OS=Mus musculus GN=Csde1 PE=2 SV=1,Csde1,Q91W50
SJPG103149.001,sp|Q91W86|VPS11_MOUSE,Vacuolar protein sorting-associated protein 11 homolog OS=Mus musculus GN=Vps11 PE=1 SV=3,Vps11,Q91W86
SJPG104740.001,sp|Q91W89|MA2C1_MOUSE,Alpha-mannosidase 2C1 OS=Mus musculus GN=Man2c1 PE=2 SV=1,Man2c1,Q91W89
SJPG102753.001,sp|Q91W90|TXND5_MOUSE,Thioredoxin domain-containing protein 5 OS=Mus musculus GN=Txndc5 PE=1 SV=2,Txndc5,Q91W90
SJPG110780.001,sp|Q91WB2|PPAC3_MOUSE,Probable lipid phosphate phosphatase PPAPDC3 OS=Mus musculus GN=Ppapdc3 PE=1 SV=1,Ppapdc3,Q91WB2
SJPG100703.001,sp|Q91WC0|SETD3_MOUSE,Histone-lysine N-methyltransferase setd3 OS=Mus musculus GN=Setd3 PE=2 SV=1,Setd3,Q91WC0
SJPG101198.001,sp|Q91WC3|ACSL6_MOUSE,Long-chain-fatty-acid--CoA ligase 6 OS=Mus musculus GN=Acsl6 PE=2 SV=1,Acsl6,Q91WC3
SJPG100606.001,sp|Q91WD5|NDUS2_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Mus musculus GN=Ndufs2 PE=1 SV=1",Ndufs2,Q91WD5
SJPG103397.001,sp|Q91WE2|F192A_MOUSE,Protein FAM192A OS=Mus musculus GN=Fam192a PE=2 SV=1,Fam192a,Q91WE2
SJPG122155.001,sp|Q91WE4|CR032_MOUSE,UPF0729 protein C18orf32 homolog OS=Mus musculus PE=2 SV=1,,Q91WE4
SJPG101652.001,sp|Q91WG5|AAKG2_MOUSE,5'-AMP-activated protein kinase subunit gamma-2 OS=Mus musculus GN=Prkag2 PE=1 SV=2,Prkag2,Q91WG5
SJPG105531.001,sp|Q91WI7|ITFG2_MOUSE,Integrin-alpha FG-GAP repeat-containing protein 2 OS=Mus musculus GN=Itfg2 PE=2 SV=1,Itfg2,Q91WI7
SJPG102742.001,sp|Q91WJ8|FUBP1_MOUSE,Far upstream element-binding protein 1 OS=Mus musculus GN=Fubp1 PE=1 SV=1,Fubp1,Q91WJ8
SJPG106506.001,sp|Q91WK0|LRRF2_MOUSE,Leucine-rich repeat flightless-interacting protein 2 OS=Mus musculus GN=Lrrfip2 PE=1 SV=1,Lrrfip2,Q91WK0
SJPG101427.001,sp|Q91WK1|SPRY4_MOUSE,SPRY domain-containing protein 4 OS=Mus musculus GN=Spryd4 PE=1 SV=1,Spryd4,Q91WK1
SJPG101042.001,sp|Q91WK2|EIF3H_MOUSE,Eukaryotic translation initiation factor 3 subunit H OS=Mus musculus GN=Eif3h PE=1 SV=1,Eif3h,Q91WK2
SJPG102156.001,sp|Q91WL8|WWOX_MOUSE,WW domain-containing oxidoreductase OS=Mus musculus GN=Wwox PE=1 SV=1,Wwox,Q91WL8
SJPG101439.001,sp|Q91WM2|CECR5_MOUSE,Cat eye syndrome critical region protein 5 homolog OS=Mus musculus GN=Cecr5 PE=2 SV=1,Cecr5,Q91WM2
SJPG105376.001,sp|Q91WN1|DNJC9_MOUSE,DnaJ homolog subfamily C member 9 OS=Mus musculus GN=Dnajc9 PE=2 SV=2,Dnajc9,Q91WN1
SJPG101461.001,sp|Q91WP6|SPA3N_MOUSE,Serine protease inhibitor A3N OS=Mus musculus GN=Serpina3n PE=1 SV=1,Serpina3n,Q91WP6
SJPG101865.001,sp|Q91WQ3|SYYC_MOUSE,"Tyrosine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Yars PE=2 SV=3",Yars,Q91WQ3
SJPG101082.001,sp|Q91WS0|CISD1_MOUSE,CDGSH iron-sulfur domain-containing protein 1 OS=Mus musculus GN=Cisd1 PE=1 SV=1,Cisd1,Q91WS0
SJPG103322.001,sp|Q91WU5|AS3MT_MOUSE,Arsenite methyltransferase OS=Mus musculus GN=As3mt PE=2 SV=2,As3mt,Q91WU5
SJPG101673.001,sp|Q91X52|DCXR_MOUSE,L-xylulose reductase OS=Mus musculus GN=Dcxr PE=2 SV=2,Dcxr,Q91X52
SJPG103906.001,sp|Q91X72|HEMO_MOUSE,Hemopexin OS=Mus musculus GN=Hpx PE=1 SV=2,Hpx,Q91X72
SJPG101866.001,sp|Q91X78|ERLN1_MOUSE,Erlin-1 OS=Mus musculus GN=Erlin1 PE=1 SV=1,Erlin1,Q91X78
SJPG102497.001,sp|Q91XD6|VPS36_MOUSE,Vacuolar protein-sorting-associated protein 36 OS=Mus musculus GN=Vps36 PE=1 SV=1,Vps36,Q91XD6
SJPG107619.001,sp|Q91XD7|CREL1_MOUSE,Cysteine-rich with EGF-like domain protein 1 OS=Mus musculus GN=Creld1 PE=2 SV=1,Creld1,Q91XD7
SJPG102003.001,sp|Q91XF0|PNPO_MOUSE,Pyridoxine-5'-phosphate oxidase OS=Mus musculus GN=Pnpo PE=1 SV=1,Pnpo,Q91XF0
SJPG101356.001,sp|Q91XL9|OSBL1_MOUSE,Oxysterol-binding protein-related protein 1 OS=Mus musculus GN=Osbpl1a PE=1 SV=2,Osbpl1a,Q91XL9
SJPG100741.001,sp|Q91XM9|DLG2_MOUSE,Disks large homolog 2 OS=Mus musculus GN=Dlg2 PE=1 SV=2,Dlg2,Q91XM9
SJPG113590.001,sp|Q91XQ0|DYH8_MOUSE,"Dynein heavy chain 8, axonemal OS=Mus musculus GN=Dnah8 PE=1 SV=2",Dnah8,Q91XQ0
SJPG101286.001,sp|Q91Y86|MK08_MOUSE,Mitogen-activated protein kinase 8 OS=Mus musculus GN=Mapk8 PE=1 SV=1,Mapk8,Q91Y86
SJPG107372.001,sp|Q91YE3|EGLN1_MOUSE,Egl nine homolog 1 OS=Mus musculus GN=Egln1 PE=2 SV=2,Egln1,Q91YE3
SJPG101374.001,sp|Q91YE6|IPO9_MOUSE,Importin-9 OS=Mus musculus GN=Ipo9 PE=1 SV=3,Ipo9,Q91YE6
SJPG101201.001,sp|Q91YE7|RBM5_MOUSE,RNA-binding protein 5 OS=Mus musculus GN=Rbm5 PE=1 SV=1,Rbm5,Q91YE7
SJPG107154.001,sp|Q91YE8|SYNP2_MOUSE,Synaptopodin-2 OS=Mus musculus GN=Synpo2 PE=1 SV=2,Synpo2,Q91YE8
SJPG101690.001,sp|Q91YH5|ATLA3_MOUSE,Atlastin-3 OS=Mus musculus GN=Atl3 PE=2 SV=1,Atl3,Q91YH5
SJPG101660.001,sp|Q91YI0|ARLY_MOUSE,Argininosuccinate lyase OS=Mus musculus GN=Asl PE=1 SV=1,Asl,Q91YI0
SJPG103782.001,sp|Q91YJ3|THYN1_MOUSE,Thymocyte nuclear protein 1 OS=Mus musculus GN=Thyn1 PE=1 SV=1,Thyn1,Q91YJ3
SJPG103171.001,sp|Q91YJ5|IF2M_MOUSE,"Translation initiation factor IF-2, mitochondrial OS=Mus musculus GN=Mtif2 PE=1 SV=2",Mtif2,Q91YJ5
SJPG103559.001,sp|Q91YM2|RHG35_MOUSE,Rho GTPase-activating protein 35 OS=Mus musculus GN=Arhgap35 PE=1 SV=3,Arhgap35,Q91YM2
SJPG103921.001,sp|Q91YM4|TBRG4_MOUSE,Protein TBRG4 OS=Mus musculus GN=Tbrg4 PE=2 SV=1,Tbrg4,Q91YM4
SJPG103625.001,sp|Q91YN5|UAP1_MOUSE,UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus GN=Uap1 PE=1 SV=1,Uap1,Q91YN5
SJPG106130.001,sp|Q91YN9|BAG2_MOUSE,BAG family molecular chaperone regulator 2 OS=Mus musculus GN=Bag2 PE=1 SV=1,Bag2,Q91YN9
SJPG103347.001,sp|Q91YP0|L2HDH_MOUSE,"L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=L2hgdh PE=1 SV=1",L2hgdh,Q91YP0
SJPG102447.001,sp|Q91YP2|NEUL_MOUSE,"Neurolysin, mitochondrial OS=Mus musculus GN=Nln PE=2 SV=1",Nln,Q91YP2
SJPG101194.001,sp|Q91YQ5|RPN1_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=1 SV=1,Rpn1,Q91YQ5
SJPG100312.001,sp|Q91YR1|TWF1_MOUSE,Twinfilin-1 OS=Mus musculus GN=Twf1 PE=1 SV=2,Twf1,Q91YR1
SJPG100369.001,sp|Q91YR7|PRP6_MOUSE,Pre-mRNA-processing factor 6 OS=Mus musculus GN=Prpf6 PE=2 SV=1,Prpf6,Q91YR7
SJPG101748.001,sp|Q91YS8|KCC1A_MOUSE,Calcium/calmodulin-dependent protein kinase type 1 OS=Mus musculus GN=Camk1 PE=1 SV=1,Camk1,Q91YS8
SJPG100143.001,sp|Q91YT0|NDUV1_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Mus musculus GN=Ndufv1 PE=1 SV=1",Ndufv1,Q91YT0
